mesh name,type,free boundary,flipping order,flip iteration,flips / start iterations,energy,time
fig9.obj,3,0,heuristic,11,1,0.651524,6500
fig9.obj,3,0,heuristic,12,1,0.651524,6513
fig9.obj,3,0,heuristic,13,0,0.651524,6499
fig9.obj,4,0,start,0,1,2.53076,-1
fig9.obj,4,0,edge order,1,53087,2.53021,7832
fig9.obj,4,0,edge order,2,12105,2.53013,8115
fig9.obj,4,0,edge order,3,1455,2.53013,8178
fig9.obj,4,0,edge order,4,108,2.53012,8200
fig9.obj,4,0,edge order,5,10,2.53012,8180
fig9.obj,4,0,edge order,6,0,2.53012,8188
fig9.obj,4,0,greedy,1,42444,2.53031,8392
fig9.obj,4,0,greedy,2,15761,2.53019,8225
fig9.obj,4,0,greedy,3,5864,2.53015,8234
fig9.obj,4,0,greedy,4,1969,2.53013,8228
fig9.obj,4,0,greedy,5,623,2.53013,8233
fig9.obj,4,0,greedy,6,189,2.53013,8253
fig9.obj,4,0,greedy,7,67,2.53012,8213
fig9.obj,4,0,greedy,8,18,2.53012,8224
fig9.obj,4,0,greedy,9,5,2.53012,8218
fig9.obj,4,0,greedy,10,2,2.53012,8229
fig9.obj,4,0,greedy,11,0,2.53012,8218
fig9.obj,4,0,random,1,52731,2.53021,8059
fig9.obj,4,0,random,2,11846,2.53014,8318
fig9.obj,4,0,random,3,1994,2.53013,8398
fig9.obj,4,0,random,4,303,2.53013,8395
fig9.obj,4,0,random,5,27,2.53012,8395
fig9.obj,4,0,random,6,4,2.53012,8388
fig9.obj,4,0,random,7,1,2.53012,8399
fig9.obj,4,0,random,8,0,2.53012,8384
fig9.obj,4,0,heuristic,1,42444,2.53031,8500
fig9.obj,4,0,heuristic,2,15761,2.53019,8331
fig9.obj,4,0,heuristic,3,5864,2.53015,8311
fig9.obj,4,0,heuristic,4,1969,2.53013,8328
fig9.obj,4,0,heuristic,5,623,2.53013,8334
fig9.obj,4,0,heuristic,6,189,2.53013,8330
fig9.obj,4,0,heuristic,7,67,2.53012,8338
fig9.obj,4,0,heuristic,8,18,2.53012,8335
fig9.obj,4,0,heuristic,9,5,2.53012,8334
fig9.obj,4,0,heuristic,10,2,2.53012,8334
fig9.obj,4,0,heuristic,11,0,2.53012,8322
fig9.obj,4,0,start,0,3,2.53069,-1
fig9.obj,4,0,edge order,1,52356,2.53016,7838
fig9.obj,4,0,edge order,2,11845,2.53008,8114
fig9.obj,4,0,edge order,3,1415,2.53007,8155
fig9.obj,4,0,edge order,4,114,2.53007,8163
